log(T) log(cool/n^2) log(heat/n^2)
1.0 -28.120904120499926 -24.80966830182971
1.1000257301078626 -28.075720713938118 -24.80966830182971
1.2000292665537704 -28.021363051615527 -24.80966830182971
1.299942900022767 -27.954677021213342 -24.80966830182971
1.4000196350651586 -27.876148359032914 -24.812479279163536
1.4999618655961902 -27.787812395596042 -24.812479279163536
1.599992177584098 -27.688246138944244 -24.812479279163536
1.7000110623221123 -27.58838029403677 -24.815308569182402
1.8000293592441343 -27.485452247339715 -24.815308569182402
1.899984562549391 -27.379863945026244 -24.815308569182402
2.0 -27.27083521030723 -24.818156412055227
2.1000257301078626 -27.157390760389436 -24.818156412055227
2.2000292665537704 -27.040958607678906 -24.82102305270683
2.299942900022767 -26.92445303860747 -24.82390874094432
2.4000196350651586 -26.812479279163536 -24.82390874094432
2.49996186559619 -26.701146923590294 -24.826813731587727
2.599992177584098 -26.59176003468815 -24.829738284605043
2.7000110623221123 -26.478861916295962 -24.829738284605043
2.8000293592441343 -26.35457773065091 -24.832682665251824
2.899984562549391 -26.215382707367123 -24.835647144215564
3.0 -26.056505484093897 -24.838631997765024
3.1000257301078626 -25.87942606879415 -24.84163750790475
3.2000292665537704 -25.692503962086786 -24.844663962534938
3.299942900022767 -25.49349496759513 -24.847711655616944
3.4000196350651586 -25.304518323509804 -24.853871964321762
3.49996186559619 -25.201349354554733 -24.856985199745903
3.599992177584098 -25.241088107602028 -24.860120913598763
3.7000110623221123 -25.33818731446274 -24.866461091629784
3.8000293592441343 -25.388276691992658 -24.872895201635192
3.899984562549391 -25.130768280269024 -24.876148359032914
4.0 -24.109578981199085 -24.882728704344235
4.100025730107863 -23.03668448861389 -24.896196279044045
4.20002926655377 -22.077793722560983 -25.07468790850035
4.299942900022767 -21.906578314837766 -25.536107011014092
4.400019635065158 -22.112382699664263 -25.77728352885242
4.49996186559619 -22.286509456906057 -26.163675884293248
4.599992177584098 -22.459670525209127 -26.557520230935552
4.700011062322113 -22.52432881167557 -26.686132779630846
4.800029359244134 -22.2572748686953 -26.7594507517174
4.899984562549391 -21.991399828238084 -27.05601112492623
5.0 -22.071604147743287 -27.636388020107855
5.100025730107863 -22.26440110030182 -28.1765257708297
5.20002926655377 -22.437707135543526 -28.54821356447571
5.299942900022767 -22.575118363368933 -28.764471553092452
5.400019635065158 -22.68402965454308 -28.87942606879415
5.49996186559619 -22.815308569182402 -28.946921556516582
5.599992177584098 -22.93554201077308 -29.02733440773389
5.700011062322113 -23.00305075150462 -29.1073489661227
5.800029359244134 -23.06398920428479 -29.191789027075778
5.899984562549391 -23.1073489661227 -29.27083521030723
6.0 -23.126679398184603 -29.33818731446274
6.100025730107863 -23.139063379299905 -29.405607449624572
6.20002926655377 -23.14569395819892 -29.49349496759513
6.299942900022767 -23.15614457737684 -29.61798295742513
6.400019635065158 -23.15676722190199 -29.747146969020108
6.49996186559619 -23.143271109617118 -29.863279432843594
6.599992177584098 -23.120330794367945 -29.958607314841775
6.700011062322113 -23.090979145788843 -30.046723663332696
6.800029359244134 -23.057991946977687 -30.13194363817696
6.899984562549391 -23.022276394711152 -30.215382707367123
7.0 -22.98296666070122 -30.30102999566398
7.100025730107863 -22.946921556516582 -30.39902710431325
7.20002926655377 -22.906578314837766 -30.49894073778225
7.299942900022767 -22.866461091629784 -30.576754126063193
7.400019635065158 -22.82390874094432 -30.636388020107855
7.49996186559619 -22.77728352885242 -30.68402965454308
7.599992177584098 -22.732828271596986 -30.72124639904717
7.700011062322113 -22.686132779630846 -30.752026733638193
7.800029359244134 -22.636388020107855 -30.777283528852415
7.899984562549391 -22.58838029403677 -30.79860287567955
8.0 -22.537602002101043 -30.815308569182402
8.100025730107863 -22.48678239993206 -30.829738284605043
8.20002926655377 -22.434152181326482 -30.84163750790475
8.299942900022767 -22.378823718224965 -30.85078088734462
8.400019635065158 -22.32239304727951 -30.860120913598763
8.499961865596191 -22.262807357295262 -30.863279432843594
8.599992177584099 -22.199970640755865 -30.866461091629784
8.700011062322112 -22.132532512140948 -30.866461091629784
8.800029359244133 -22.06048074738138 -30.869666231504993
8.899984562549392 -21.98296666070122 -30.869666231504993
9.0 -21.89279003035213 -30.869666231504993
