log(T) log(cool/n^2) log(heat/n^2)
1.0 -28.101274818410506 -24.806875401645538
1.1000257301078626 -28.041914151478913 -24.80966830182971
1.2000292665537704 -27.962573502059378 -24.80966830182971
1.299942900022767 -27.860120913598763 -24.80966830182971
1.4000196350651586 -27.723538195826755 -24.80966830182971
1.4999618655961902 -27.567030709125593 -24.812479279163536
1.599992177584098 -27.40340290437354 -24.812479279163536
1.7000110623221123 -27.241088107602028 -24.815308569182402
1.8000293592441343 -27.083019952679617 -24.815308569182402
1.899984562549391 -26.920818753952375 -24.815308569182402
2.0 -26.75448733218585 -24.818156412055227
2.1000257301078626 -26.586700235918748 -24.818156412055227
2.2000292665537704 -26.422508200162774 -24.82102305270683
2.299942900022767 -26.27083521030723 -24.82102305270683
2.4000196350651586 -26.13608262304214 -24.82390874094432
2.49996186559619 -26.021363051615527 -24.826813731587727
2.599992177584098 -25.920818753952375 -24.829738284605043
2.7000110623221123 -25.832682665251824 -24.829738284605043
2.8000293592441343 -25.752026733638193 -24.832682665251824
2.899984562549391 -25.671620396561263 -24.835647144215564
3.0 -25.586700235918748 -24.838631997765024
3.1000257301078626 -25.496209316942817 -24.84163750790475
3.2000292665537704 -25.39254497678533 -24.844663962534938
3.299942900022767 -25.272458742971445 -24.847711655616944
3.4000196350651586 -25.146301788223827 -24.853871964321762
3.49996186559619 -25.05749589383192 -24.856985199745903
3.599992177584098 -25.050122295963124 -24.860120913598763
3.7000110623221123 -25.060980223551333 -24.866461091629784
3.8000293592441343 -25.013676222949236 -24.872895201635192
3.899984562549391 -24.79860287567955 -24.876148359032914
4.0 -24.03574036980315 -24.882728704344235
4.100025730107863 -23.023650020996726 -24.896196279044045
4.20002926655377 -22.072629636960976 -25.073657553374346
4.299942900022767 -21.899629454882437 -25.536107011014092
4.400019635065158 -22.092588639225415 -25.782516055786093
4.49996186559619 -22.23807216157947 -26.18111458540599
4.599992177584098 -22.347753658996677 -26.576754126063193
4.700011062322113 -22.341035157335565 -26.69680394257951
4.800029359244134 -22.106793246940153 -26.767003889607846
4.899984562549391 -21.872895201635192 -27.056505484093897
5.0 -21.903089986991944 -27.51999305704285
5.100025730107863 -22.020451625295905 -27.853871964321762
5.20002926655377 -22.090443970758823 -28.079354998593214
5.299942900022767 -22.13194363817696 -28.22112552799726
5.400019635065158 -22.168130225719498 -28.270025714300445
5.49996186559619 -22.332547047110047 -28.282329496997736
5.599992177584098 -22.517126416391246 -28.349692476868064
5.700011062322113 -22.57186520597121 -28.42481215507234
5.800029359244134 -22.6345120151091 -28.585026652029182
5.899984562549391 -22.688246138944244 -28.718966632752274
6.0 -22.69897000433602 -28.835647144215564
6.100025730107863 -22.72124639904717 -28.939302159646388
6.20002926655377 -22.756961951313706 -29.037630664329978
6.299942900022767 -22.844663962534938 -29.14569395819892
6.400019635065158 -22.931814138253838 -29.265200170411152
6.49996186559619 -22.97469413473523 -29.35457773065091
6.599992177584098 -22.98296666070122 -29.393618634889396
6.700011062322113 -22.97469413473523 -29.416801226031378
6.800029359244134 -22.954677021213342 -29.407823242604135
6.899984562549391 -22.928117992693874 -29.397940008672037
7.0 -22.903089986991944 -29.393618634889396
7.100025730107863 -22.886056647693163 -29.42481215507234
7.20002926655377 -22.869666231504993 -29.510041520575164
7.299942900022767 -22.84163750790475 -29.6345120151091
7.400019635065158 -22.806875401645538 -29.767003889607846
7.49996186559619 -22.764471553092452 -29.856985199745903
7.599992177584098 -22.72124639904717 -29.97881070093006
7.700011062322113 -22.67571754470231 -30.071604147743287
7.800029359244134 -22.628932137728263 -30.170696227168975
7.899984562549391 -22.581698708680253 -30.276544327964814
8.0 -22.531652669587842 -30.377785977033703
8.100025730107863 -22.481486060122112 -30.467245621007503
8.20002926655377 -22.42829116819131 -30.54211810326601
8.299942900022767 -22.374687549038327 -30.603800652904265
8.400019635065158 -22.317854923626168 -30.65560772631489
8.499961865596191 -22.258848401148214 -30.732828271596986
8.599992177584099 -22.196542884351587 -30.785156151952304
8.700011062322112 -22.129596094720974 -30.818156412055227
8.800029359244133 -22.05700040663396 -30.838631997765024
8.899984562549392 -21.97881070093006 -30.85078088734462
9.0 -21.89279003035213 -30.860120913598763
