log(T) log(cool/n^2) log(heat/n^2)
1.0 -27.32513885926219 -24.769551078621728
1.1000257301078626 -27.078313524516396 -24.769551078621728
1.2000292665537704 -26.804100347590765 -24.772113295386326
1.299942900022767 -26.510041520575164 -24.772113295386326
1.4000196350651586 -26.212539525481585 -24.772113295386326
1.4999618655961902 -25.943095148663527 -24.774690718274137
1.599992177584098 -25.69897000433602 -24.774690718274137
1.7000110623221123 -25.482804102050025 -24.777283528852415
1.8000293592441343 -25.284832642151542 -24.777283528852415
1.899984562549391 -25.08990945440593 -24.777283528852415
2.0 -24.89279003035213 -24.779891911959943
2.1000257301078626 -24.701146923590294 -24.782516055786093
2.2000292665537704 -24.517126416391246 -24.782516055786093
2.299942900022767 -24.35359627377693 -24.785156151952304
2.4000196350651586 -24.210419287835574 -24.787812395596042
2.49996186559619 -24.09151498112135 -24.79048498545737
2.599992177584098 -23.991399828238084 -24.79317412396815
2.7000110623221123 -23.906578314837766 -24.795880017344075
2.8000293592441343 -23.835647144215564 -24.79860287567955
2.899984562549391 -23.772113295386326 -24.801342913045577
3.0 -23.71669877129645 -24.804100347590765
3.1000257301078626 -23.66958622665081 -24.806875401645538
3.2000292665537704 -23.62342304294349 -24.812479279163536
3.299942900022767 -23.576754126063193 -24.815308569182402
3.4000196350651586 -23.534617148551582 -24.818156412055227
3.49996186559619 -23.484126156288323 -24.82390874094432
3.599992177584098 -23.416801226031378 -24.826813731587727
3.7000110623221123 -23.324221658325914 -24.832682665251824
3.8000293592441343 -23.193141970481182 -24.838631997765024
3.899984562549391 -23.012333735073724 -24.84163750790475
4.0 -22.769551078621728 -24.84163750790475
4.100025730107863 -22.397940008672037 -24.85078088734462
4.20002926655377 -21.714442690992225 -25.001304841688345
4.299942900022767 -21.42596873227228 -25.47237009912866
4.400019635065158 -21.316052869248487 -25.692503962086786
4.49996186559619 -21.130768280269024 -25.97881070093006
4.599992177584098 -20.928117992693874 -26.216096420727265
4.700011062322113 -20.744727494896694 -26.31695296176115
4.800029359244134 -20.576754126063193 -26.40340290437354
4.899984562549391 -20.421360790031926 -26.560667306169737
5.0 -20.33068311943389 -26.08990945440593
5.100025730107863 -20.32605800136591 -26.08565684288056
5.20002926655377 -20.289882634888183 -26.225483034271452
5.299942900022767 -20.26440110030182 -26.38615817812393
5.400019635065158 -20.26360349772336 -26.496209316942817
5.49996186559619 -20.440093374963887 -26.522878745280337
5.599992177584098 -20.657577319177793 -26.614393726401687
5.700011062322113 -20.705533773838408 -26.71669877129645
5.800029359244134 -20.769551078621728 -26.80966830182971
5.899984562549391 -20.826813731587727 -26.899629454882437
6.0 -20.832682665251824 -26.987162775294827
6.100025730107863 -20.860120913598763 -27.07058107428571
6.20002926655377 -20.91364016932525 -27.1518108830086
6.299942900022767 -21.060980223551333 -27.2518119729938
6.400019635065158 -21.247951552180563 -27.375717904164333
6.49996186559619 -21.3829996588791 -27.46344155742847
6.599992177584098 -21.473660722610155 -27.484126156288323
6.700011062322113 -21.518557371497696 -27.485452247339715
6.800029359244134 -21.534617148551582 -27.455931955649724
6.899984562549391 -21.54515513999149 -27.42596873227228
7.0 -21.575118363368933 -27.4089353929735
7.100025730107863 -21.66554624884907 -27.437707135543526
7.20002926655377 -21.82390874094432 -27.530177984021837
7.299942900022767 -21.970616222314792 -27.619788758288394
7.400019635065158 -22.063486257521106 -27.73754891026957
7.49996186559619 -22.115771230367397 -27.903089986991944
7.599992177584098 -22.137868620686962 -28.031050319018657
7.700011062322113 -22.14146280243036 -28.137272471682024
7.800029359244134 -22.1331221856625 -28.25492520841794
7.899984562549391 -22.118615343229425 -28.39040559077478
8.0 -22.101274818410506 -28.531652669587842
8.100025730107863 -22.081445469449726 -28.66958622665081
8.20002926655377 -22.05700040663396 -28.801342913045577
8.299942900022767 -22.02733440773389 -28.92445303860747
8.400019635065158 -21.991399828238084 -29.04624030826677
8.499961865596191 -21.950781977329818 -29.164943898279883
8.599992177584099 -21.903089986991944 -29.283162276700477
8.700011062322112 -21.853871964321762 -29.40340290437354
8.800029359244133 -21.79317412396815 -29.52432881167557
8.899984562549392 -21.728158393463502 -29.6458915608526
9.0 -21.65364702554936 -29.769551078621728
